Time,Residential PV (kW),Residential Load (kW),Commercial Load (kW),EV Load (kW)
12:00:00 AM,0,151.0714286,5.892857143,0
12:15:00 AM,0,133.9285714,5.892857143,0
12:30:00 AM,0,128.5714286,5.892857143,0
12:45:00 AM,0,130.7142857,5.357142857,0
1:00:00 AM,0,137.1428571,5.892857143,0
1:15:00 AM,0,125.3571429,5.357142857,0
1:30:00 AM,0,117.8571429,5.892857143,0
1:45:00 AM,0,117.8571429,5.892857143,0
2:00:00 AM,0,122.1428571,5.892857143,0
2:15:00 AM,0,120,5.357142857,0
2:30:00 AM,0,111.4285714,5.892857143,0
2:45:00 AM,0,115.7142857,5.357142857,0
3:00:00 AM,0,110.3571429,5.357142857,0
3:15:00 AM,0,112.5,5.357142857,0
3:30:00 AM,0,107.1428571,5.892857143,0
3:45:00 AM,0,109.2857143,5.892857143,0
4:00:00 AM,0,94.28571429,5.892857143,0
4:15:00 AM,0,114.6428571,5.892857143,0
4:30:00 AM,0,94.28571429,6.428571429,0
4:45:00 AM,0,102.8571429,23.57142857,0
5:00:00 AM,0,98.57142857,21.42857143,0
5:15:00 AM,0,107.1428571,19.28571429,0
5:30:00 AM,0,96.42857143,31.07142857,0
5:45:00 AM,0,106.0714286,47.67857143,0
6:00:00 AM,0,108.2142857,56.25,0
6:15:00 AM,2,118.7857143,56.78571429,0
6:30:00 AM,5.5625,107.3482143,82.5,0
6:45:00 AM,10.53125,125.1741071,77.14285714,0
7:00:00 AM,9.625,108.1964286,74.46428571,0
7:15:00 AM,12.625,98.33928571,73.39285714,0
7:30:00 AM,18.875,85.30357143,73.39285714,0
7:45:00 AM,24,69,75,0
8:00:00 AM,28.375,63.73214286,82.5,0
8:15:00 AM,31.3125,70.95535714,77.67857143,0
8:30:00 AM,42.4375,62.79464286,79.28571429,0
8:45:00 AM,36.53125,61.86886161,65.89285714,0
9:00:00 AM,49.375,48.5546875,64.28571429,0
9:15:00 AM,22.75,55.72154018,68.57142857,0
9:30:00 AM,16.9375,56.58035714,66.96428571,0
9:45:00 AM,40.34375,66.90345982,64.82142857,0
10:00:00 AM,27.0625,52.11551339,71.25,104.7321429
10:15:00 AM,26.1875,51.16517857,75.53571429,64.28571429
10:30:00 AM,20.0625,44.70535714,73.92857143,88.25795201
10:45:00 AM,65.375,41.51060268,83.03571429,201.1690325
11:00:00 AM,31.5625,51.35044643,100.1785714,227.4776786
11:15:00 AM,37.9375,47.59709821,103.9285714,131.1160714
11:30:00 AM,25.5,44.78571429,93.21428571,156.4285714
11:45:00 AM,26.1875,46.20145089,96.96428571,221.7857143
12:00:00 PM,88.5625,42.64174107,99.10714286,142.4330357
12:15:00 PM,56.25,43.81138393,98.57142857,212.6785714
12:30:00 PM,57.375,48.1171875,100.7142857,185.2901786
12:45:00 PM,36.6875,45.80301339,96.96428571,255.2008929
1:00:00 PM,17.4375,45.28627232,93.21428571,213.75
1:15:00 PM,8.9375,38.9375,93.21428571,171.2946429
1:30:00 PM,20.5625,38.60100446,86.25,159.9107143
1:45:00 PM,26.1875,40.88616071,87.32142857,87.92410714
2:00:00 PM,33.8125,43.87388393,88.92857143,169.1160714
2:15:00 PM,32.5625,43.578125,81.42857143,99.375
2:30:00 PM,38.125,44.58705357,88.92857143,118.6607143
2:45:00 PM,31.375,47.44642857,87.85714286,154.351763
3:00:00 PM,23.1875,44.61607143,84.10714286,210.2008929
3:15:00 PM,16.375,43.16071429,90.53571429,178.9285714
3:30:00 PM,13.75,37.32142857,73.92857143,200.9263393
3:45:00 PM,11.6875,45.97321429,85.71428571,152.0416173
4:00:00 PM,9.25,45.67857143,68.57142857,143.3035714
4:15:00 PM,5.9375,41.29464286,49.82142857,194.7321429
4:30:00 PM,4.6875,44.33035714,54.64285714,64.82142857
4:45:00 PM,4.75,48.67857143,40.71428571,83.30357143
5:00:00 PM,4.375,42.94642857,32.14285714,107.4107143
5:15:00 PM,2.9375,55.4375,25.17857143,31.33928572
5:30:00 PM,0.5625,59.49107143,19.28571429,73.39285714
5:45:00 PM,0,66.42857143,16.60714286,1.071428572
6:00:00 PM,0,66.42857143,15,34.55357143
6:15:00 PM,0,87.85714286,14.46428571,103.125
6:30:00 PM,0,81.42857143,13.39285714,53.30357143
6:45:00 PM,0,81.42857143,9.642857143,73.98214286
7:00:00 PM,0,76.07142857,8.035714286,256.4732143
7:15:00 PM,0,95.35714286,6.964285714,249.3415179
7:30:00 PM,0,97.5,6.964285714,280.7142857
7:45:00 PM,0,99.64285714,6.428571429,270.3348214
8:00:00 PM,0,98.57142857,6.428571429,208.2254464
8:15:00 PM,0,94.28571429,6.428571429,116.0491071
8:30:00 PM,0,98.57142857,6.428571429,190.2102225
8:45:00 PM,0,97.5,6.428571429,220.6473214
9:00:00 PM,0,116.7857143,6.428571429,118.3258929
9:15:00 PM,0,120,5.892857143,42.99107143
9:30:00 PM,0,117.8571429,5.357142857,52.04039656
9:45:00 PM,0,140.3571429,5.357142857,243.6495536
10:00:00 PM,0,118.9285714,5.892857143,260.4241071
10:15:00 PM,0,126.4285714,5.892857143,140.0892857
10:30:00 PM,0,120,5.357142857,19.54391044
10:45:00 PM,0,129.6428571,5.357142857,0
11:00:00 PM,0,123.2142857,5.892857143,0
11:15:00 PM,0,126.4285714,5.357142857,0
11:30:00 PM,0,117.8571429,5.357142857,0
11:45:00 PM,0,121.0714286,5.357142857,0
